adjective,noun
'A loving','drunk'
'A scornful','visitor'
'An unwelcome','alien'
'An inspiring','loss'
'A hopeful','expression'
'A hopeless','village'
'An unlikely','protaganist'
'A mistaken','savior'
'A ravenous','angel'
'A flesh-eating','ship'
'A royal','shadow'
'A resplendant','monkey'
'An excited','ghost'
'A mischeivous','vampire'
'A wise','succubus'
'A heroic','creature'
'A golden','monster'
'A forsaken','zombie'
'A forgotten','sword'
'A gilded','rose'
'An explosive','throne'
'A mindful','forest'
'A joyful','home'
'A sick','people'
'A bloody','casualty'
'An ethereal','demon'
'A broken','age'
'A haunted','goddess'
'A mystical','god'
'A just','survivor'
'A vengeful','daughter'
'A haggard','lover'
'An exceptional','book'
'A beautiful','vision'
'A horrific','planet'
'A tortured','mountainside'
'A pleasant','landscape'
'A rotten','world'
'A smutty','artifact'
